epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_score_recall,val_auc,val_range_mae_gates,val_velocity_mae_bins
1,0.24649550956535854,0.12441538883547477,0.001,0.354248046875,0.0,0.013333333333333334,0.0,0.07446540880503144,69.67924528301887,64.75471698113208
2,0.09970334977554182,0.06693935717267943,0.001,0.2340087890625,0.0,0.013333333333333334,0.0,0.027169811320754716,33.58490566037736,64.75471698113208
3,0.05674940385828121,0.0421046039887837,0.001,0.1744384765625,0.0,0.013333333333333334,0.0,0.0369811320754717,29.90566037735849,64.75471698113208
4,0.037694517653586085,0.029773613135215683,0.001,0.1378173828125,0.0,0.013333333333333334,0.0,0.0440251572327044,34.20754716981132,66.22641509433963
5,0.028767400574330693,0.024053699332358215,0.001,0.11181640625,0.0,0.013333333333333334,0.0,0.057421383647798745,50.24528301886792,74.64150943396227
6,0.024339836592863835,0.021181097336737394,0.001,0.0994873046875,0.0,0.013333333333333334,0.0,0.07213836477987422,49.77358490566038,71.90566037735849
7,0.021933258774707903,0.019471491113525308,0.001,0.0872802734375,0.0,0.013333333333333334,0.0,0.0729559748427673,49.77358490566038,71.90566037735849
8,0.020486662370175365,0.018430781491064085,0.001,0.08197021484375,0.0,0.013333333333333334,0.0,0.05911949685534591,44.45283018867924,50.0
9,0.01955509567608168,0.0176902503747805,0.001,0.0784912109375,0.0,0.013333333333333334,0.0,0.0739622641509434,48.660377358490564,73.32075471698113
10,0.018926507539826262,0.017230935770963213,0.001,0.08416748046875,0.0,0.013333333333333334,0.0,0.0910062893081761,36.339622641509436,25.339622641509433
11,0.018486876537737177,0.01685391382080287,0.001,0.0703125,0.0,0.013333333333333334,0.0,0.05377358490566038,52.24528301886792,68.15094339622641
12,0.018158824931117243,0.016586540996331004,0.001,0.06768798828125,0.0,0.013333333333333334,0.0,0.0560377358490566,43.264150943396224,39.735849056603776
13,0.01791129016249649,0.016440177703358858,0.001,0.0867919921875,0.0,0.013333333333333334,0.0,0.12220125786163522,36.15094339622642,25.39622641509434
14,0.017726347713939584,0.016262521990230813,0.001,0.07904052734375,0.0,0.013333333333333334,0.0,0.16031446540880503,35.943396226415096,25.37735849056604
15,0.01756992558804353,0.01610278102839962,0.001,0.06732177734375,0.0,0.006666666666666667,0.0,0.2542138364779874,35.509433962264154,25.339622641509433
16,0.017444579267116248,0.015990006508021227,0.001,0.06536865234375,0.0,0.013333333333333334,0.0,0.42371069182389937,35.64150943396226,25.264150943396228
17,0.01733019837552325,0.01588183893762492,0.001,0.06475830078125,0.0,0.006666666666666667,0.0,0.710314465408805,35.886792452830186,25.32075471698113
18,0.01723196868837442,0.01578911089251194,0.001,0.07366943359375,0.0,0.013333333333333334,0.0,0.8032704402515723,35.81132075471698,25.81132075471698
19,0.017126525727143346,0.015670072746100685,0.001,0.080810546875,0.0,0.013333333333333334,0.0,0.8410062893081761,35.16981132075472,25.67924528301887
20,0.01698757670669141,0.015556820404481858,0.001,0.08880615234375,0.0,0.013333333333333334,0.0,0.8885534591194969,40.16981132075472,23.943396226415093
21,0.016858453669075697,0.015326652568053876,0.001,0.09619140625,0.0,0.013333333333333334,1.0,0.999937106918239,55.77358490566038,24.358490566037737
22,0.01662673213396151,0.015060282383444422,0.001,0.11297607421875,0.1320754716981132,0.013333333333333334,1.0,1.0,42.264150943396224,20.0188679245283
23,0.01647834370610608,0.01499418499810722,0.001,0.0999755859375,0.05660377358490566,0.013333333333333334,1.0,0.9983647798742138,22.660377358490567,19.71698113207547
24,0.015953604217287344,0.014410504612502793,0.001,0.281494140625,0.18867924528301888,0.013333333333333334,1.0,1.0,9.69811320754717,11.49056603773585
25,0.016098731669353827,0.014119976785107347,0.001,0.278076171875,0.18867924528301888,0.013333333333333334,1.0,1.0,6.150943396226415,11.0
26,0.016423470684580724,0.015662089476517857,0.001,0.083740234375,0.0,0.013333333333333334,0.0,0.09572327044025157,29.32075471698113,62.24528301886792
27,0.016951403412415654,0.015545680976743475,0.001,0.0850830078125,0.0,0.013333333333333334,0.11320754716981132,0.7495597484276729,33.0188679245283,22.339622641509433
28,0.016641470199485996,0.01484051990676029,0.001,0.12408447265625,0.1320754716981132,0.013333333333333334,1.0,1.0,39.660377358490564,18.528301886792452
29,0.015988124037447645,0.014278346635951785,0.001,0.194580078125,0.2830188679245283,0.013333333333333334,1.0,1.0,17.433962264150942,10.547169811320755
30,0.014913795094163913,0.013777937324891977,0.001,0.3427734375,0.24528301886792453,0.013333333333333334,0.8113207547169812,0.9869182389937107,4.7924528301886795,8.169811320754716
31,0.01385957620425446,0.013816647474732012,0.001,0.443115234375,0.24528301886792453,0.013333333333333334,0.9622641509433962,0.9972327044025158,4.547169811320755,6.283018867924528
32,0.013509764519458602,0.013224737707231872,0.001,0.43994140625,0.22641509433962265,0.013333333333333334,0.9433962264150944,0.9931446540880503,4.3584905660377355,7.886792452830188
33,0.01283432540767437,0.0145531357667441,0.001,0.1153564453125,0.18867924528301888,0.006666666666666667,0.9056603773584906,0.9942767295597484,6.169811320754717,7.113207547169812
34,0.012614977508381692,0.011171640188254306,0.001,0.41455078125,0.39622641509433965,0.013333333333333334,1.0,0.999874213836478,3.6226415094339623,4.773584905660377
35,0.011437852598345183,0.010582235563784985,0.001,0.31982421875,0.4339622641509434,0.013333333333333334,1.0,0.9994968553459119,3.452830188679245,4.962264150943396
36,0.011179945579757588,0.010886883555815137,0.001,0.373046875,0.20754716981132076,0.013333333333333334,1.0,0.999245283018868,3.811320754716981,4.377358490566038
37,0.011132375738832025,0.010474432702520358,0.001,0.306640625,0.4339622641509434,0.013333333333333334,1.0,1.0,3.7735849056603774,3.943396226415094
38,0.010458691402104987,0.01154070142358358,0.001,0.459228515625,0.5849056603773585,0.013333333333333334,1.0,0.9996226415094339,3.358490566037736,5.09433962264151
39,0.010485055714103863,0.01186994225786898,0.001,0.426025390625,0.5094339622641509,0.013333333333333334,1.0,0.999748427672956,3.018867924528302,3.6792452830188678
40,0.009757205969440647,0.009256490073832018,0.001,0.4384765625,0.5094339622641509,0.013333333333333334,0.9811320754716981,0.9996226415094339,3.1132075471698113,3.660377358490566
