epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_score_recall,val_auc,val_range_mae_gates,val_velocity_mae_bins
1,0.26620612309678743,0.16122781861396063,0.001,0.359130859375,0.0,0.013333333333333334,0.0,0.038,64.91666666666667,69.96666666666667
2,0.12075697695431502,0.09138555640266055,0.001,0.28466796875,0.0,0.013333333333333334,0.0,0.30816666666666664,28.416666666666668,59.233333333333334
3,0.07146787368085074,0.05699044040271214,0.001,0.194091796875,0.0,0.013333333333333334,0.0,0.12766666666666668,31.833333333333332,59.233333333333334
4,0.04636184233443245,0.03891458674555733,0.001,0.1416015625,0.0,0.006666666666666667,0.0,0.022222222222222223,28.416666666666668,59.233333333333334
5,0.03323654907391123,0.029489381646826154,0.001,0.1177978515625,0.0,0.006666666666666667,0.0,0.004611111111111111,28.416666666666668,59.233333333333334
6,0.02645777629526413,0.024681642030676205,0.001,0.1014404296875,0.0,0.013333333333333334,0.0,0.004,28.416666666666668,59.233333333333334
7,0.022862915729132037,0.022179017606235685,0.001,0.08868408203125,0.0,0.006666666666666667,0.0,0.003111111111111111,28.416666666666668,59.233333333333334
8,0.02088351774474849,0.020579256605179536,0.001,0.08123779296875,0.0,0.006666666666666667,0.0,0.0034444444444444444,28.416666666666668,59.233333333333334
9,0.01964775612577796,0.01960994488604012,0.001,0.0755615234375,0.0,0.006666666666666667,0.0,0.0030555555555555557,28.6,57.083333333333336
10,0.018846614873441664,0.018950867723850975,0.001,0.06951904296875,0.0,0.013333333333333334,0.0,0.015111111111111112,31.416666666666668,43.71666666666667
11,0.01829213392920792,0.018503258616796563,0.001,0.07080078125,0.0,0.013333333333333334,0.0,0.19427777777777777,37.983333333333334,23.366666666666667
12,0.017895425619233563,0.01814671541076331,0.001,0.06756591796875,0.0,0.013333333333333334,0.016666666666666666,0.3156111111111111,38.916666666666664,23.483333333333334
13,0.017588407226392756,0.017862279016879343,0.001,0.06622314453125,0.0,0.013333333333333334,0.03333333333333333,0.5811666666666667,40.416666666666664,23.483333333333334
14,0.017331412021556625,0.01761209564726977,0.001,0.06842041015625,0.0,0.013333333333333334,0.0,0.8192222222222222,41.4,22.466666666666665
15,0.017091837137147948,0.017360614453043256,0.001,0.07696533203125,0.016666666666666666,0.013333333333333334,0.36666666666666664,0.9761666666666666,59.016666666666666,23.083333333333332
16,0.016825649505177433,0.017025335133075713,0.001,0.09912109375,0.03333333333333333,0.013333333333333334,1.0,1.0,57.35,22.25
17,0.016616924514022212,0.016904929062972467,0.001,0.10247802734375,0.08333333333333333,0.013333333333333334,0.5333333333333333,0.9836111111111111,52.35,20.316666666666666
18,0.016329823983023347,0.016681867008585306,0.001,0.179931640625,0.0,0.013333333333333334,1.0,1.0,57.166666666666664,22.416666666666668
19,0.016274975450790447,0.016273721400648356,0.001,0.11199951171875,0.23333333333333334,0.013333333333333334,1.0,1.0,28.433333333333334,11.483333333333333
20,0.01565187416322853,0.015554532273450777,0.001,0.232666015625,0.11666666666666667,0.013333333333333334,1.0,0.9998888888888889,27.533333333333335,12.616666666666667
21,0.01534005834685598,0.01556480090976471,0.001,0.154052734375,0.03333333333333333,0.013333333333333334,0.9833333333333333,0.9994444444444445,7.433333333333334,6.316666666666666
22,0.015421256584965664,0.015881185100546907,0.001,0.1624755859375,0.11666666666666667,0.013333333333333334,0.9833333333333333,0.9994444444444445,11.933333333333334,10.216666666666667
23,0.014929443243486077,0.014025269843460548,0.001,0.402587890625,0.03333333333333333,0.013333333333333334,0.95,0.9966666666666667,9.233333333333333,7.816666666666666
24,0.014440571909527416,0.014360527064473856,0.001,0.401611328125,0.03333333333333333,0.013333333333333334,0.65,0.9544444444444444,9.8,8.8
25,0.012972604387196834,0.013462626299865188,0.001,0.3994140625,0.16666666666666666,0.013333333333333334,0.9333333333333333,0.9953333333333333,7.333333333333333,8.966666666666667
26,0.012024574346192505,0.0127217403746077,0.001,0.35205078125,0.18333333333333332,0.013333333333333334,0.9333333333333333,0.995,7.6,8.866666666666667
27,0.011472758933213418,0.013481594145386702,0.001,0.2156982421875,0.18333333333333332,0.013333333333333334,0.9333333333333333,0.9967777777777778,5.783333333333333,5.933333333333334
28,0.011262898545955186,0.012281617362584386,0.001,0.471435546875,0.15,0.013333333333333334,0.8,0.9942222222222222,6.266666666666667,7.7
