mode,folds,folds_false_alarms_not_worse,folds_joint_pd_not_worse,folds_pauc_improved,max_joint_pd_drop
power2_baseline,4,4,4,0,0.0
power2_roi_power_control,4,4,4,0,0.0
power2_roi_ri4,4,4,4,0,0.0
