fold,mode,parameter_count,best_epoch,base_threshold,selected_threshold,false_alarms,fixed_pfa,fixed_score_pd,fixed_joint_pd,auc,pauc_5pct,tpr_1pct,tpr_5pct,range_mae,velocity_mae,selected_test_pfa,selected_test_joint_pd,validation_background_q99,test_background_exceed_q99_fraction,background_median_shift,background_q95_shift
1,power2_baseline,0,0,0.183837890625,0.3426465392112732,150,1.0,1.0,0.9811320754716981,0.9444025157232705,0.801967424608934,0.5094339622641509,0.7169811320754716,1.0566037735849056,0.8867924528301887,0.9733333333333334,0.9811320754716981,0.26498967399999857,0.9933333333333333,0.7056655695,0.8124124105000001
1,power2_roi_power_control,8162,28,0.183837890625,0.06687689572572708,98,0.6533333333333333,1.0,0.9811320754716981,0.9618867924528302,0.8238993710691824,0.5094339622641509,0.7924528301886793,1.0566037735849056,0.8867924528301887,0.7466666666666667,0.9811320754716981,0.059370030339999866,0.7533333333333333,0.41596254345,0.9161863434999999
1,power2_roi_ri4,8162,16,0.183837890625,0.039046984165906906,100,0.6666666666666666,1.0,0.9811320754716981,0.9422641509433963,0.8026124818577649,0.5094339622641509,0.7358490566037735,1.0566037735849056,0.8867924528301887,0.78,0.9811320754716981,0.03633654703999995,0.78,0.6519751247500001,0.93237473935
2,power2_baseline,0,0,0.5234375,0.5517527461051941,2,0.013333333333333334,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.006666666666666667,0.8867924528301887,0.547777093,0.006666666666666667,-0.096382005,-0.13463368550000016
2,power2_roi_power_control,8162,22,0.5234375,0.13826514780521393,0,0.0,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.006666666666666667,0.8867924528301887,0.13601384864,0.013333333333333334,-0.005919348500000001,-0.03133289450000011
2,power2_roi_ri4,8162,13,0.5234375,0.21842889487743378,0,0.0,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.0,0.8867924528301887,0.21720306420000002,0.0,-0.011072702,-0.08618666850000005
3,power2_baseline,0,0,0.900390625,0.9036649465560913,0,0.0,0.8846153846153846,0.8269230769230769,1.0,1.0,1.0,1.0,1.5576923076923077,0.9038461538461539,0.0,0.8076923076923077,0.9031025683999999,0.0,-0.46682383000000005,-0.527280014
3,power2_roi_power_control,8162,68,0.900390625,0.9000339508056641,0,0.0,0.8846153846153846,0.8269230769230769,1.0,1.0,1.0,1.0,1.5576923076923077,0.9038461538461539,0.0,0.8269230769230769,0.8964884520999999,0.0,-0.23598801500000002,-0.7675869854999999
3,power2_roi_ri4,8162,19,0.900390625,0.875095546245575,0,0.0,0.8846153846153846,0.8269230769230769,0.9966555183946488,0.9901380670611439,0.9807692307692307,0.9807692307692307,1.5576923076923077,0.9038461538461539,0.0,0.8461538461538461,0.8740570685,0.0,-0.10962560500000001,-0.7407314137
4,power2_baseline,0,0,0.140869140625,0.1846509873867035,148,0.9866666666666667,1.0,0.7884615384615384,0.8848717948717949,0.8113083497698882,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9733333333333334,0.7884615384615384,0.1634700437999996,0.98,0.5904988915,0.7979290587000001
4,power2_roi_power_control,8162,5,0.140869140625,0.030368251726031303,139,0.9266666666666666,1.0,0.7884615384615384,0.8848717948717948,0.8126232741617356,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.98,0.7884615384615384,0.02330339611999984,0.98,0.576300776575,0.8758962022
4,power2_roi_ri4,8162,8,0.140869140625,0.026798516511917114,96,0.64,0.9615384615384616,0.7884615384615384,0.8885897435897437,0.8152531229454307,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9133333333333333,0.7884615384615384,0.026327991559999993,0.9133333333333333,0.24889663560000003,0.8699467603700001
5,power2_baseline,0,0,0.5576171875,0.5659095644950867,0,0.0,0.9833333333333333,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.5833333333333335,0.0,0.8833333333333333,0.5646983346000001,0.0,-0.044224346,-0.38077444699999996
5,power2_roi_power_control,8162,3,0.5576171875,0.5603855848312378,0,0.0,0.9833333333333333,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.5833333333333335,0.0,0.8833333333333333,0.5591564056,0.0,-0.0425803045,-0.381544727
5,power2_roi_ri4,8162,3,0.5576171875,0.5553265810012817,0,0.0,0.9833333333333333,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.5833333333333335,0.0,0.8833333333333333,0.553927762,0.0,-0.0440776335,-0.38754087800000003
6,power2_baseline,0,0,0.841796875,0.8470421433448792,0,0.0,0.6666666666666666,0.6666666666666666,0.9980072463768116,0.9795615013006317,0.9375,1.0,5.354166666666667,3.5833333333333335,0.0,0.6666666666666666,0.8470142889999999,0.0,-0.29211997,-0.4300910359999989
6,power2_roi_power_control,8162,3,0.841796875,0.8462671041488647,0,0.0,0.6666666666666666,0.6666666666666666,0.9980072463768116,0.9795615013006317,0.9375,1.0,5.354166666666667,3.5833333333333335,0.0,0.6666666666666666,0.8462384629999999,0.0,-0.29127837999999995,-0.4303871974999989
6,power2_roi_ri4,8162,30,0.841796875,0.8372349739074707,0,0.0,0.6666666666666666,0.6666666666666666,0.9789855072463768,0.9679487179487178,0.9375,0.9375,5.354166666666667,3.5833333333333335,0.0,0.6666666666666666,0.8437842104,0.0,-0.006990011000000001,-0.5569381854999984
