split,target_present,global_zdr_median_count,global_zdr_median_mean,global_zdr_median_std,global_zdr_median_median,global_zdr_iqr_count,global_zdr_iqr_mean,global_zdr_iqr_std,global_zdr_iqr_median,global_rho_mean_count,global_rho_mean_mean,global_rho_mean_std,global_rho_mean_median,global_rho_median_count,global_rho_median_mean,global_rho_median_std,global_rho_median_median,global_phase_resultant_count,global_phase_resultant_mean,global_phase_resultant_std,global_phase_resultant_median,peak_zdr_mean_count,peak_zdr_mean_mean,peak_zdr_mean_std,peak_zdr_mean_median,peak_zdr_median_count,peak_zdr_median_mean,peak_zdr_median_std,peak_zdr_median_median,peak_zdr_std_count,peak_zdr_std_mean,peak_zdr_std_std,peak_zdr_std_median,peak_rho_mean_count,peak_rho_mean_mean,peak_rho_mean_std,peak_rho_mean_median,peak_rho_median_count,peak_rho_median_mean,peak_rho_median_std,peak_rho_median_median,peak_rho_p10_count,peak_rho_p10_mean,peak_rho_p10_std,peak_rho_p10_median,peak_phase_resultant_count,peak_phase_resultant_mean,peak_phase_resultant_std,peak_phase_resultant_median,peak_phase_cos_mean_count,peak_phase_cos_mean_mean,peak_phase_cos_mean_std,peak_phase_cos_mean_median,peak_phase_sin_mean_count,peak_phase_sin_mean_mean,peak_phase_sin_mean_std,peak_phase_sin_mean_median,peak_stokes_s1_mean_count,peak_stokes_s1_mean_mean,peak_stokes_s1_mean_std,peak_stokes_s1_mean_median,peak_stokes_s2_mean_count,peak_stokes_s2_mean_mean,peak_stokes_s2_mean_std,peak_stokes_s2_mean_median,peak_stokes_s3_mean_count,peak_stokes_s3_mean_mean,peak_stokes_s3_mean_std,peak_stokes_s3_mean_median
test,0,20,0.05710870872717351,0.14814005328769617,0.040844762697815895,20,3.0310518339276316,0.11983164155366127,3.00205497443676,20,0.36061189159933493,0.00626347004123263,0.35866178638499147,20,0.32730850502848624,0.006106522183044239,0.32585565000772476,20,0.05809568092226982,0.020635140471074308,0.060664255172014236,20,0.46167739983275535,1.4987337408843016,0.14539465218782427,20,0.5740812265197747,1.7612126003554123,0.13735581934452057,20,0.21701036984454145,0.787306387204545,0.012389730145177382,20,0.9897240196466447,0.04452325562147549,0.9999783909320832,20,0.9980708330869674,0.008047202390149262,0.9999996423721313,20,0.9731948202848434,0.11582331129716074,0.9999334931373596,20,0.9968153476715088,0.014130691786232349,0.9999993145465851,20,0.5813015251234174,0.29193533651234527,0.6561136865615844,20,-0.6875156925097108,0.3281147135940551,-0.754662024974823,20,0.0486473269033595,0.16288316251896348,0.01673758111894131,20,0.5762160317152738,0.2747043066869675,0.6439207196235657,20,0.6684154091924429,0.3200430223071217,0.7449127745628357
test,1,20,-0.04641889864578843,0.14401135851235117,-0.013063471764326096,20,3.1000304624438284,0.09898351922310844,3.0890780091285706,20,0.37237197884955797,0.005545872323567394,0.3726626201881754,20,0.3366301886737347,0.004924858237109398,0.33790865540504456,20,0.07739465497434139,0.025795938836447756,0.0763605386018753,20,0.28689865509420637,1.512721190491246,-0.3269721756875515,20,0.23127401545643805,1.4087886853392002,-0.3200475573539734,20,0.4867779892543423,0.9932940474281787,0.016332362625577836,20,0.9894429579973221,0.021741872388433798,0.9999660170078277,20,0.991154956817627,0.01900199736115429,0.9999996721744537,20,0.9723072206974029,0.056677512400655834,0.999895179271698,20,0.999597504734993,0.001026455593211017,0.9999987185001373,20,0.7327387151718139,0.12661475322575627,0.6687295758724212,20,-0.5295551043599844,0.41881011327589224,-0.7435041081905365,20,0.02639740041270852,0.16145025171858182,-0.03753022164106369,20,0.7058934634923935,0.08573496977254,0.6640774929523467,20,0.5329663757160306,0.40488133188952163,0.7383324682712555
train,0,20,-0.07025289011653513,0.4802469949795488,0.029048636788502336,20,2.957372494786978,0.8491126963395422,2.79994248226285,20,0.5795346120330696,0.12955429522158116,0.6189521455436261,20,0.5877748921513557,0.18185725249509602,0.6047963052988052,20,0.3155863342806697,0.17601858072136892,0.3405323326587677,20,1.6992036182899029,6.069945376539741,0.1934984666109085,20,1.7617966747377067,6.7063597889247175,0.16700953990221024,20,1.1548851295138325,2.1695403579437733,0.281658153573885,20,0.9528577155470849,0.07740350526642609,0.9937235593795777,20,0.9548359632492065,0.08443040443630404,0.9955783784389496,20,0.888652245104313,0.2022536163504503,0.985219544172287,20,0.9422616779804229,0.12378520302684078,0.9997962415218353,20,0.48554830973595375,0.5463443666771051,0.6166630983352661,20,-0.11046919625252485,0.6248246272899878,0.08342207573354245,20,0.0850124578787363,0.41215847394413346,0.02227245382964611,20,0.4132789036035538,0.5285908409348354,0.5922650527954101,20,0.18689569240668788,0.5231488813800623,-0.07982482179999352
train,1,20,-0.043920894339680674,0.1711205556652695,-0.06278976891189814,20,3.070642167329788,0.09947965552210221,3.0716776847839355,20,0.37262301844516654,0.0067656011613258064,0.3740255146483742,20,0.3352076172828674,0.0059345644835124035,0.3360864967107773,20,0.08414249829947948,0.020529260223393075,0.08683613687753677,20,0.12399720934033391,0.8861436719784067,0.11615638732910157,20,-0.019213995337486266,0.8816385871251825,0.12883271276950836,20,0.4017539014073834,0.8199535580866434,0.01725846713851726,20,0.989217392206192,0.023857322961715045,0.9999675428867341,20,0.9930058687925338,0.015153899411452445,0.9999997615814209,20,0.9711618238687516,0.0644070775343302,0.9999001622200012,20,0.9953304469585419,0.011106228905245938,0.9999988973140717,20,0.7254252817630767,0.1390713711338826,0.6684867143630981,20,-0.5820597364492714,0.33621850186983665,-0.7437225675582886,20,0.013024340417236092,0.09914294070723621,0.013372138254344464,20,0.7073909618854523,0.11034535870315768,0.6638232171535492,20,0.5843301590629852,0.32640181356909986,0.7385348606109619
val,0,20,-0.2365595846902579,0.9805122451226884,-0.025330619420856237,20,3.65761502943933,3.0405962244391165,2.95676202327013,20,0.6385830236386014,0.07903060376053314,0.6196289985250041,20,0.6561731569468975,0.15429860011358665,0.5949171185493469,20,0.41080155968666077,0.09450313547530174,0.42336757481098175,20,-3.0319026439636945,8.148220035776017,0.17083648636937143,20,-3.1150428861379624,8.28020569438241,0.1404239758849144,20,0.7644943483532184,1.613220964471845,0.12328474633795525,20,0.9315977359265089,0.13042837541627442,0.9941118240356446,20,0.9384258538484573,0.13412415799851568,0.994893878698349,20,0.878644023835659,0.2295424176685255,0.9916042387485504,20,0.9289186894893646,0.14787695914432067,0.9998161792755127,20,0.4924407261610031,0.4064271896390443,0.6100933402776718,20,-0.4614824730157852,0.5343725095526772,-0.7174498271942139,20,-0.13994378664530813,0.343718316247388,0.01966426596045494,20,0.5117904647924006,0.30229765806198733,0.5922704339027405,20,0.44604670826229265,0.5107312752901155,0.6950139546394347
val,1,20,0.033843505231197925,0.1379918392375044,0.014231660054065287,20,3.0423191130161285,0.09477950908561435,3.063847079873085,20,0.37119985244484544,0.005601701198948031,0.37184206241473017,20,0.33386842757463453,0.004968022735936177,0.3341457098722458,20,0.07031493578106165,0.02405842331359061,0.0708341971039772,20,0.3597931663766504,1.3861281743950573,0.11480233371257782,20,0.308695138245821,1.2552030926737563,0.12874037772417068,20,0.25535785234720726,0.748632254718049,0.01610354929985992,20,0.9934995262622832,0.02063115326088434,0.9999739849567413,20,0.9957294285297393,0.013145989726268832,0.9999998509883881,20,0.982168214917183,0.057317288399928196,0.9999198734760284,20,0.9992556899785996,0.0032948300335649753,0.9999998807907104,20,0.6928096561431885,0.10982597470347988,0.652000344991684,20,-0.6464229520900407,0.30644947472184847,-0.7582185089588165,20,0.03588832952338271,0.14229190827913232,0.01321627801284194,20,0.674984888970852,0.07772790726084844,0.6519251716136932,20,0.6471294349987001,0.2971897278089838,0.7581310939788819
