feature,background_mean,target_mean,cohens_d_target_minus_background,auc_target_high,orientation_free_auc
peak_rho_median,0.9637775500615438,0.9932967513799668,0.4399795767059263,0.7969444444444443,0.7969444444444443
peak_rho_mean,0.9580598237067462,0.9907199588219325,0.48394622810758464,0.7402777777777778,0.7402777777777778
peak_rho_p10,0.9134970297416053,0.9752124198277792,0.43779958913134503,0.7280555555555556,0.7280555555555556
peak_phase_resultant,0.9559985717137655,0.9980612138907115,0.5224159111213927,0.7272222222222222,0.7272222222222222
global_phase_resultant,0.2614945249632001,0.07728402968496084,-1.3705106963413756,0.30027777777777775,0.6997222222222222
peak_zdr_std,0.7121299492371975,0.38129658100297764,-0.252700012129486,0.30361111111111116,0.6963888888888888
peak_stokes_s2_mean,0.5004284667037427,0.6960897714495659,0.6989348277183159,0.6675,0.6675
global_rho_median,0.5237521847089132,0.3352354111770789,-1.3539469321792346,0.3325,0.6675
global_rho_mean,0.5262431757570021,0.37206494991318995,-1.469878583054258,0.35583333333333333,0.6441666666666667
peak_phase_cos_mean,0.5197635203401247,0.7169912176926929,0.6328031461816792,0.6327777777777778,0.6327777777777778
global_zdr_iqr,3.21534645271798,3.0709972475965817,-0.11196486265508294,0.5980555555555556,0.5980555555555556
peak_stokes_s3_mean,0.43378593662047443,0.5881419899259053,0.3626861626096104,0.5625,0.5625
global_zdr_median,-0.0832345886932065,-0.018832095918090392,0.1390071142281691,0.4419444444444445,0.5580555555555555
peak_phase_sin_mean,-0.4198224539260069,-0.5860125976330988,-0.35629722123814145,0.4452777777777778,0.5547222222222222
peak_stokes_s1_mean,-0.00209466728773744,0.025103356784442442,0.10694685475993508,0.48944444444444446,0.5105555555555555
peak_zdr_mean,-0.29034054194701225,0.25689634360373026,0.1228750812258988,0.49388888888888893,0.5061111111111111
peak_zdr_median,-0.25972166162682697,0.1735850527882576,0.09305731172306948,0.49444444444444446,0.5055555555555555
