transfer_id,analysis_scope,role,representation,target_band,comparison,metric,estimate,ci_lower_95,ci_upper_95,requested_replicates,valid_replicates,discarded_replicates,bootstrap_seed,draw_count_per_replicate,resampling_unit,duplicate_batch_draws_count_with_multiplicity,percentile_quantile_method,inference_scope,conditioning,identical_paired_draws
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,logistic_batch_balanced,target_batch_class_macro_accuracy,0.74240276139471173,0.68449630015698582,0.79523456148521032,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.24240276139471173,0.18449630015698582,0.29523456148521032,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.57517971027978265,0.52530199754001972,0.627046402573182,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,1411585072,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.85710281598140425,0.78021935217184069,0.92457291766506688,2000,2000,0,1411585072,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.35710281598140425,0.28021935217184063,0.42457291766506688,2000,2000,0,1411585072,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_x_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.55437504293258866,0.5127417541813829,0.60931493486613664,2000,2000,0,1411585072,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,band_qualified_primary,locked_primary,Narrow,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,1999,1,157826792,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,band_qualified_primary,locked_primary,Narrow,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.83998539390802485,0.76709828581980755,0.90872840092626572,2000,1999,1,157826792,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,band_qualified_primary,locked_primary,Narrow,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.33998539390802485,0.2670982858198076,0.40872840092626567,2000,1999,1,157826792,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_x_to_ku_shared_binary,band_qualified_primary,locked_primary,Narrow,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.62854889026979877,0.54407021395365485,0.71753486519799914,2000,1999,1,157826792,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,locked_primary,Narrow,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,885833704,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,locked_primary,Narrow,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.83197263126388066,0.75934916516723794,0.89918890473301627,2000,2000,0,885833704,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,locked_primary,Narrow,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.33197263126388066,0.25934916516723794,0.39918890473301627,2000,2000,0,885833704,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,locked_primary,Narrow,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.63103061243243608,0.54562247645718909,0.72593445503376441,2000,2000,0,885833704,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_s_shared_binary,band_qualified_primary,locked_primary,Narrow,S,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,2269891408,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_s_shared_binary,band_qualified_primary,locked_primary,Narrow,S,logistic_batch_balanced,target_batch_class_macro_accuracy,0.6516798766871873,0.5839896354446773,0.71612890614073432,2000,2000,0,2269891408,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_to_s_shared_binary,band_qualified_primary,locked_primary,Narrow,S,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.1516798766871873,0.083989635444677288,0.21612890614073435,2000,2000,0,2269891408,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_x_to_s_shared_binary,band_qualified_primary,locked_primary,Narrow,S,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.51081377154490604,0.48454299727769223,0.54074886012564694,2000,2000,0,2269891408,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
