transfer_id,role,analysis_scope,source_bands,target_band,model_id,feature,importance,importance_type,fit_scope
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,energy_entropy_normalized,0.05566724736208381,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,peak_bin_fraction,0.01121052435070816,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,peak_power_fraction,0.028128957681061325,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,crest_factor,0.032401041330946435,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,amplitude_mean_rms_normalized,0.049578270255258877,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,amplitude_std_rms_normalized,0.047156782005596115,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,amplitude_skewness,0.034089345766454116,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,amplitude_kurtosis,0.030761440417749922,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,energy_q10_bin_fraction,0.11669660296633345,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,energy_q50_bin_fraction,0.0091771742166254274,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,energy_q90_bin_fraction,0.026617486976807894,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,energy_q90_q10_width_fraction,0.090841266160924722,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,roughness_mean_abs_difference,0.2505677311467337,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,autocorrelation_magnitude_lag1,0.047528119699604923,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,autocorrelation_magnitude_lag4,0.021944794793142645,mean_decrease_impurity,source_bands_only
hrrp_x_to_ku_binary,exploratory,raw_batch_code_disjoint_sensitivity,X,Ku,random_forest_batch_balanced,autocorrelation_magnitude_lag16,0.037898677103943387,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_mean_rms_normalized,1.9693449155464651,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_std_rms_normalized,1.2607640660062325,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_coefficient_of_variation,1.0372404407218443,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_skewness,0.014974817429334457,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_kurtosis,0.29309015041855524,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,envelope_crest_factor,1.4656118352390066,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,phase_increment_mean_cycles_per_sample,0.76625207293082087,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,phase_increment_resultant_length,2.9031157897446183,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag1,2.9748420413090138,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag2,3.3900948043897188,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag4,1.7937119957698626,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag8,2.3305565275657147,mean_abs_standardized_multiclass_coefficient,source_bands_only
