transfer_id,role,analysis_scope,source_bands,model_id,representation,band_code,band,batch_code,category_code,category,record_count,accuracy,evaluation_unit
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,337,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,337,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,338,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,338,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,341,3,weather,14,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,341,all,all,14,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,343,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,343,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,345,3,weather,5,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,345,all,all,5,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,346,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,346,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,347,1,UAV,167,0,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,347,all,all,167,0,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,350,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,350,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,351,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,351,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,355,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,355,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,358,3,weather,35,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,358,all,all,35,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,363,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,363,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,364,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,364,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,365,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,365,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,369,3,weather,5,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,369,all,all,5,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,371,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,371,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,373,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,373,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,374,3,weather,6,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,374,all,all,6,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,376,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,376,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,377,3,weather,11,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,377,all,all,11,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,380,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,380,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,382,3,weather,3,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,382,all,all,3,1,target_batch
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,386,3,weather,6,1,target_batch_class_cell
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,X,dummy_prior,Narrow,1,S,386,all,all,6,1,target_batch
