transfer_id,role,analysis_scope,model_id,band,true_category_code,true_category,predicted_category_code,predicted_category,confusion_type,value
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.88423173731638394
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,row_count,2598
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.99999999999999989
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,row_count,0
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,row_count,721
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,target_batch_class_row_normalized,1
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,row_count,0
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,target_batch_class_row_normalized,0
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,row_count,161
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.054559171731473004
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,row_count,2437
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.94544082826852693
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,row_count,12
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.012736956346213413
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,row_count,709
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.98726304365378659
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,row_count,23
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.0077237874970491199
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,row_count,2575
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.99227621250295073
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,row_count,6
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.0091645083754122482
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,row_count,715
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.99083549162458762
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,row_count,0
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,target_batch_class_row_normalized,0
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,row_count,1531
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,target_batch_class_row_normalized,1
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,row_count,0
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,target_batch_class_row_normalized,0
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,row_count,2507
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,target_batch_class_row_normalized,1
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,row_count,989
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,target_batch_class_row_normalized,0.66100722625765251
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,row_count,542
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,target_batch_class_row_normalized,0.33899277374234749
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,row_count,476
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,target_batch_class_row_normalized,0.17620170346822955
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,row_count,2031
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.8237982965317705
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,1,UAV,row_count,425
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,1,UAV,target_batch_class_row_normalized,0.24809196067512143
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,3,weather,row_count,1106
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,3,weather,target_batch_class_row_normalized,0.7519080393248786
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,1,UAV,row_count,277
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,1,UAV,target_batch_class_row_normalized,0.097732540115556557
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,3,weather,row_count,2230
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.90226745988444346
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,row_count,2598
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.99999999999999989
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,row_count,0
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,row_count,721
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,target_batch_class_row_normalized,1
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,row_count,0
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,target_batch_class_row_normalized,0
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,row_count,2147
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.82277882553306625
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,row_count,451
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.17722117446693372
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,row_count,88
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.10857319357025774
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,row_count,633
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.89142680642974226
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,row_count,285
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.11907541333541138
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,row_count,2313
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.88092458666458862
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,row_count,9
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.010325327470234215
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,row_count,712
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.98967467252976571
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,row_count,0
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,row_count,2598
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.99999999999999989
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,row_count,0
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,row_count,721
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,target_batch_class_row_normalized,1
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,row_count,2238
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.84930906453937238
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,row_count,360
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.15069093546062751
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,row_count,158
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.16933827672332299
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,row_count,563
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.83066172327667698
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,row_count,911
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.32174597217015793
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,row_count,1687
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.67825402782984212
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,row_count,54
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.064648191630560278
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,row_count,667
narrow_x_to_ku_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.93535180836943965
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,row_count,0
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,target_batch_class_row_normalized,0
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,row_count,1531
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,target_batch_class_row_normalized,1
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,row_count,0
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,target_batch_class_row_normalized,0
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,row_count,2507
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,target_batch_class_row_normalized,1
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,row_count,703
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,target_batch_class_row_normalized,0.44332017014512737
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,row_count,828
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,target_batch_class_row_normalized,0.55667982985487274
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,row_count,384
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,target_batch_class_row_normalized,0.13996041677075211
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,row_count,2123
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.86003958322924801
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,1,UAV,row_count,149
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,1,UAV,target_batch_class_row_normalized,0.085092664860941608
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,3,weather,row_count,1382
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,1,UAV,3,weather,target_batch_class_row_normalized,0.91490733513905842
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,1,UAV,row_count,169
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,1,UAV,target_batch_class_row_normalized,0.063465121771129604
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,3,weather,row_count,2338
narrow_x_to_s_shared_binary,locked_primary,band_qualified_primary,random_forest_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.93653487822887038
